x-component
T (K) 	D (m2/s)
1200	1.2660492053838777e-10
1300	1.5530499888084687e-10
1400	2.8111527915303583e-10
1500	4.046266263242933e-10
1600	5.401152537551286e-10
1700	9.527929097192505e-10
1800	1.2032033215348498e-09
1900	1.5228965066681115e-09
2000	1.5290394249473321e-09

y-component
T (K) 	D (m2/s)
1200	1.4507090047620193e-10
1300	1.3778165053656867e-10
1400	2.32241894301322e-10
1500	3.593250884105262e-10
1600	5.455669979540692e-10
1700	9.133151218574073e-10
1800	1.2133181361370302e-09
1900	1.5133599715911374e-09
2000	1.8436639954005359e-09

z-component
T (K) 	D (m2/s)
1200	1.311919135397029e-10
1300	1.415684577387812e-10
1400	2.889274871733743e-10
1500	4.059569599978955e-10
1600	5.407331928364692e-10
1700	9.825670192402814e-10
1800	1.0944898876208988e-09
1900	1.415669957035813e-09
2000	1.9510372814984826e-09

