MP_id       Space_group_symbol  Space_group_number
--------------------------------------------------
mp-390      I4_1/amd            141               
mp-430      P2_1/c              14                
mp-1439     Pbcn                60                
mp-1840     Pbca                61                
mp-2657     P4_2/mnm            136               
mp-9173     Pnma                62                
mp-25262    Fd-3m               227               
mp-25433    R-3m                166               
mp-34688    C2/c                15                
mp-553432   P3_121              152               
mp-554278   C2/m                12                
mp-572822   P2_1/m              11                
mp-636827   Pmm2                25                
mp-655656   Cmm2                35                
mp-754672   Pnma                62                
mp-754769   Pnma                62                
mp-756587   P6_3mc              186               
mp-756655   Pnma                62                
mp-766454   P1                  1                 
mp-775938   Pbcn                60                
mp-777129   P1                  1                 
mp-849533   Pnma                62                
mp-1008677  Fm-3m               225               
mp-1041565  Imma                74                
mp-1044853  P3m1                156               
mp-1079207  P-62m               189               
mp-1101022  I4/m                87                
mp-1102255  Pnma                62                
mp-1102591  Pa-3                205               
mp-1190753  Pbca                61                
mp-1201727  Pnma                62                
mp-1245098  P1                  1                 
mp-1245134  P1                  1                 
mp-1245308  P1                  1                 
mp-1245321  P1                  1                 
mp-1341203  Pmmn                59                
mp-1350429  Cm                  8                 
mp-1380335  P3m1                156               
mp-1386640  Cmcm                63                
mp-1400963  I4/m                87                
mp-1408285  R3m                 160               
mp-1426806  R-3m                166               
mp-1445035  P6_3/mmc            194               
mp-2420244  Pnma                62                
